"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.619582323E-4,8.023315430E-1,2.398013306E-1,9.983938293E0,1.001899518E1
1.050695824E-2,7.171586609E-1,3.209326172E-1,9.555379486E0,9.587626996E0
2.055195824E-2,6.366261292E-1,3.638932800E-1,9.319020996E0,9.347826671E0
3.059695824E-2,6.779402161E-1,3.149450684E-1,9.732012177E0,9.760678990E0
4.064295825E-2,6.825805664E-1,2.540217590E-1,1.004126907E1,1.006764758E1
5.068795825E-2,6.813830566E-1,2.495310974E-1,1.005114853E1,1.007730794E1
6.073295826E-2,7.279362488E-1,2.854563904E-1,9.889335022E0,9.920197766E0
7.077795826E-2,7.544311523E-1,3.423381042E-1,9.666298828E0,9.701736689E0
8.082395827E-2,7.695497131E-1,3.832031250E-1,9.530830536E0,9.569523609E0
9.086895827E-2,7.217990112E-1,3.879931641E-1,9.530980225E0,9.566144289E0
1.009139583E-1,7.767347717E-1,3.477268982E-1,9.704170074E0,9.741414052E0
1.109589583E-1,7.629634094E-1,2.942880249E-1,9.917626190E0,9.951282724E0
1.210049583E-1,7.946974182E-1,3.221301270E-1,1.018676651E1,1.022279432E1
1.310499583E-1,7.589218140E-1,2.567161560E-1,1.015817596E1,1.018972053E1
1.410949583E-1,7.719447327E-1,1.794767761E-1,9.845925293E0,9.877770774E0
1.511409583E-1,8.349636841E-1,2.436932373E-1,9.704619141E0,9.743520073E0
1.611859583E-1,7.734416199E-1,2.269281006E-1,9.709409180E0,9.742809396E0
1.712309583E-1,7.373666382E-1,2.038760376E-1,9.718689880E0,9.748754176E0
1.812759583E-1,7.455995178E-1,2.516267395E-1,9.644444275E0,9.676494201E0
1.913219583E-1,7.551795959E-1,3.122506714E-1,9.674681396E0,9.709132651E0
2.013669583E-1,7.147636414E-1,2.912942505E-1,9.794881439E0,9.825245127E0
2.114119583E-1,7.490423584E-1,2.647993469E-1,9.944719849E0,9.976403962E0
2.214569583E-1,7.897576904E-1,3.100053406E-1,9.995464325E0,1.003140706E1
2.315029582E-1,7.866142273E-1,3.367996216E-1,9.960287476E0,9.996975669E0
2.415479582E-1,8.108638000E-1,3.104544067E-1,9.893376617E0,9.931403875E0
2.515929582E-1,7.701484680E-1,2.670446777E-1,9.768236847E0,9.802188155E0
2.616379582E-1,7.806266785E-1,2.969824219E-1,9.776619415E0,9.812230315E0
2.716839582E-1,7.280859375E-1,3.179388428E-1,9.795031128E0,9.827198433E0
2.817289582E-1,6.641688538E-1,3.031196594E-1,9.818083191E0,9.845189655E0
2.917739582E-1,6.740483093E-1,2.981799316E-1,9.882748718E0,9.910195489E0
3.018189583E-1,7.399113464E-1,3.052153015E-1,9.962233429E0,9.994334399E0
3.118649583E-1,8.140072632E-1,3.022215271E-1,9.957443390E0,9.995230089E0
3.219099583E-1,9.048683167E-1,3.460803223E-1,9.859397278E0,9.906880081E0
3.319549583E-1,9.108558655E-1,3.811074829E-1,9.752070465E0,9.801927345E0
3.420009583E-1,8.557704163E-1,3.002755737E-1,9.510023804E0,9.553170216E0
